transcript_id	gene_id	gene_symbol	locaus	TSS	TES	length	Nb_samples_over_10%	Nb_samples_over_25%	Nb_samples_over_50%	Nb_samples_over_75%	cytoplasmic.Naive.000.b1	cytoplasmic.Naive.010.b1	cytoplasmic.Naive.015.b1	cytoplasmic.Naive.020.b1	cytoplasmic.Naive.025.b1	cytoplasmic.Naive.030.b1	cytoplasmic.Naive.035.b1	cytoplasmic.Naive.040.b1	cytoplasmic.Naive.050.b1	cytoplasmic.Naive.060.b1	cytoplasmic.Naive.090.b1	cytoplasmic.Naive.120.b1	cytoplasmic.Naive.000.b2	cytoplasmic.Naive.010.b2	cytoplasmic.Naive.015.b2	cytoplasmic.Naive.020.b2	cytoplasmic.Naive.025.b2	cytoplasmic.Naive.030.b2	cytoplasmic.Naive.040.b2	cytoplasmic.Naive.050.b2	cytoplasmic.Naive.060.b2	cytoplasmic.Naive.075.b2	cytoplasmic.Naive.090.b2	cytoplasmic.Naive.120.b2	cytoplasmic.Naive.000.b3	cytoplasmic.Naive.010.b3	cytoplasmic.Naive.015.b3	cytoplasmic.Naive.020.b3	cytoplasmic.Naive.025.b3	cytoplasmic.Naive.030.b3	cytoplasmic.Naive.040.b3	cytoplasmic.Naive.050.b3	cytoplasmic.Naive.060.b3	cytoplasmic.Naive.075.b3	cytoplasmic.Naive.090.b3	cytoplasmic.Naive.120.b3
ENSMUSG00000078453.3	ENSMUST00000020002.8	Abracl	chr10:18011259-18023288	18023288	18011259	846	36	36	36	36	46.108	35.3848	37.9086	43.6617	39.2177	40.8328	45.5512	48.7852	58.3835	64.1127	97.4612	91.3095	38.997	42.3614	42.6683	45.5574	42.9544	59.5329	47.0172	52.6463	74.5845	84.9772	87.5688	110.976	37.1101	41.919	34.3688	38.9043	34.0819	37.3626	46.5294	55.1044	61.7094	71.7856	86.4566	107.997
ENSMUSG00000078453.3	ENSMUST00000220110.1	Abracl	chr10:18011263-18023218	18023218	18011263	768	1	0	0	0	2.87523	2.45393	1.60427	0.988208	2.39393	2.6119	2.16137	3.80904	3.07113	5.08953	6.68321	9.16577	2.83107	2.32918	1.29095	2.74066	2.9909	2.94483	6.92379	4.62168	3.93614	4.87455	5.54401	6.46244	3.03015	3.72152	2.66781	1.0685	1.85195	2.22783	2.14786	2.92419	3.82841	5.29343	4.81104	6.29032
ENSMUSG00000078453.3	ENSMUST00000218994.1	Abracl	chr10:18011523-18022878	18022878	18011523	425	0	0	0	0	0.306411	3.15187e-06	0.72661	0.385306	2.79375e-08	0.341361	0.421216	5.8058e-10	0.326467	0.141643	2.11203e-09	0.286581	0.259069	0.21392	0.295618	0.140132	0.459852	0.133531	2.90807e-12	7.07864e-18	0.559124	0.31718	0.437561	0.178616	0.172124	0.217831	0.227407	0.250344	0.626762	8.71233e-07	0.324688	0.246977	0.457211	4.49772e-10	0.530002	0.439815
ENSMUSG00000078453.3	ENSMUST00000217718.1	Abracl	chr10:18011589-18013355	18013355	18011589	300	0	0	0	0	2.31276e-24	6.50143e-20	2.77002e-18	8.83026e-25	2.0848e-17	5.86534e-16	7.7976e-22	1.76593e-27	5.31081e-17	1.17682e-15	1.64057e-24	2.47701e-26	1.1788e-14	3.07878e-19	4.83359e-13	1.94884e-19	1.80897e-20	1.85281e-18	1.56801e-53	3.80196e-54	3.67551e-19	1.57446e-23	6.00321e-22	5.06887e-21	1.17249e-20	7.32536e-25	1.45506e-14	1.45417e-19	1.18757e-19	9.36081e-14	4.04332e-18	9.16387e-19	2.19613e-21	1.53219e-27	9.23609e-20	2.24028e-24
ENSMUSG00000078453.3	ENSMUST00000220433.1	Abracl	chr10:18011704-18023090	18023090	18011704	275	19	0	0	0	3.53442	2.12252	4.71004	3.57838	4.06189	6.05744	5.4356	5.16622	7.07393	8.90518	11.5143	12.7823	5.21132	5.01281	5.41452	5.00384	4.0946	8.10557	7.15179	3.37134	9.63726	12.0506	12.2895	13.5881	3.59132	4.36811	4.54737	2.72779	3.00819	4.81333	5.9791	6.41184	5.70281	5.23692	8.79705	13.1594
Total_FPKM							36	36	36	36	52.82406099999999	39.96125315187	44.94952	48.613594000000006	45.6735200279375	49.843500999999996	53.569386	57.760460000580586	68.85502699999999	78.249053	115.65871000211204	113.544151	47.29845900000001	49.91731000000001	49.66938800000049	53.442032	50.499752	70.716831	61.092780000002904	60.63932	88.717024	102.21952999999999	105.839871	131.20515600000002	43.903694	50.22646099999999	41.81138700000002	42.950934	39.568802	44.40376087123309	54.98104800000001	64.68740700000001	71.69783100000001	82.31595000044977	100.594692	127.886535
Main Isoform FPKM											46.108	35.3848	37.9086	43.6617	39.2177	40.8328	45.5512	48.7852	58.3835	64.1127	97.4612	91.3095	38.997	42.3614	42.6683	45.5574	42.9544	59.5329	47.0172	52.6463	74.5845	84.9772	87.5688	110.976	37.1101	41.919	34.3688	38.9043	34.0819	37.3626	46.5294	55.1044	61.7094	71.7856	86.4566	107.997
2nd Main Isoform FPKM											3.53442	2.45393	4.71004	3.57838	4.06189	6.05744	5.4356	5.16622	7.07393	8.90518	11.5143	12.7823	5.21132	5.01281	5.41452	5.00384	4.0946	8.10557	7.15179	4.62168	9.63726	12.0506	12.2895	13.5881	3.59132	4.36811	4.54737	2.72779	3.00819	4.81333	5.9791	6.41184	5.70281	5.29343	8.79705	13.1594
Main Isoform/Total											0.8728598128795891	0.8854777367847424	0.8433593951615056	0.8981376690643361	0.8586528906905223	0.8192201426621296	0.8503214877243507	0.8446123870812253	0.8479192085713655	0.8193415452580621	0.8426620009700978	0.8041761657982718	0.8244877491674727	0.8486314667196609	0.859046219776245	0.8524638434406836	0.8505863553547748	0.8418490924741806	0.7696032166157403	0.8681875060604242	0.8407011037701175	0.8313205901064112	0.8273706229290472	0.8458204188256138	0.8452614488430062	0.8345999133803197	0.8219961705647312	0.9057847263577552	0.8613326226050513	0.8414287273627155	0.8462807038527166	0.8518566836355025	0.8606871245519268	0.8720740026642195	0.8594548905224542	0.8444751435325072
2nd Main Isoform / Main											0.07665524420924785	0.06934983382695395	0.12424726842985498	0.08195695540943206	0.10357287653279004	0.14834740698654023	0.11932945784084723	0.10589728032272082	0.1211631711014242	0.13889884531457886	0.11814239923169426	0.13998871968415114	0.13363386927199528	0.11833437988357325	0.12689795468767212	0.10983594322766445	0.09532434395545043	0.1361527827470189	0.15211007886475586	0.08778736587376511	0.12921263801460087	0.14180980310012567	0.1403410803847946	0.12244178921568628	0.09677473248522639	0.1042035831007419	0.1323109913642606	0.07011538570286575	0.08826356511814189	0.12882749059219648	0.1285015495579139	0.11635804037427139	0.0924139596236554	0.0737394407792092	0.1017510519728974	0.12184968100965768

ENSMUSG00000032724.5	ENSMUST00000076212.3	Abtb2	chr2:103566309-103718423	103566309	103718423	4558	8	8	8	8	0.249949	0.218271	0.170066	0.257236	0.282643	0.268229	0.272153	0.286976	0.401224	0.596529	5.42029	9.49261	0.201191	0.164665	0.288464	0.240831	0.216021	0.171367	0.193333	0.152531	0.584346	1.60707	5.25152	15.2345	0.187819	0.335197	0.128171	0.224318	0.293431	0.248734	0.283691	0.367987	0.396718	1.54757	4.98149	14.4292
ENSMUSG00000032724.5	ENSMUST00000138580.1	Abtb2	chr2:103715034-103717217	103715034	103717217	709	0	0	0	0	0	0	0	7.11559e-14	0.0515922	4.60103e-15	0	0.00903695	1.14602e-07	1.8946e-11	5.68754e-15	9.33966e-17	0	0	0	0	0	0	0	0	3.03091e-15	3.03251e-17	6.64726e-11	1.07446e-08	2.17274e-07	2.321e-13	0	0	0	0	0	0	2.32651e-19	0.0362405	8.86598e-08	3.79893e-08
