Geneid	Name	Chr	Strand	Main Isoforms	Disagree with Cufflinks Strongly	Annotations – TSS	Annotations – TES	Observed – TSS	Observed – TES
ENSMUSG00000078453.3	Abracl	10	-	ENSMUST00000020002.8		18023288	18011259	18023230	18011265
ENSMUSG00000078453.3	Abracl	10	-	ENSMUST00000220433.1		18023090	18011704	18023137	18011688
ENSMUSG00000032724.5	Abtb2	2	+	ENSMUST00000076212.3		103566309	103718423	103566328	103718427
ENSMUSG00000022126.6	Acod1	14	+	ENSMUST00000022722.6		103046976	103056573	103047022	103056095
ENSMUSG00000022126.6	Acod1	14	+	Longer Isoform				103047022	103058525
ENSMUSG00000001348.15	Acp5	9	-	ENSMUST00000115315.2		22130598	22126730	22130605	22126730
ENSMUSG00000001348.15	Acp5	9	-	ENSMUST00000069330.13		22131815	22126726	22131865	22126730
ENSMUSG00000020178.6	Adora2a	10	+	ENSMUST00000105420.2		75316876	75334784	75316912	75334773
ENSMUSG00000020178.6	Adora2a	10	+	ENSMUST00000219044.1	TRUE	75317101	75326280	75317095	?
ENSMUSG00000018500.2	Adora2b	11	+	ENSMUST00000018644.2		62248983	62266453	62248983	62266456
ENSMUSG00000018500.2	Adora2b	11	+	Shorter Isoform				62248983	62266101
ENSMUSG00000005686.17	Ampd3	7	+	ENSMUST00000005829.12		110772603	110812405	110772788	110812400
ENSMUSG00000005686.17	Ampd3	7	+	ENSMUST00000213373.1		110768910	110811919	110768498	110812400
ENSMUSG00000005686.17	Ampd3	7	+	ENSMUST00000143786.1	TRUE	110773671	110788799	110773818	?
ENSMUSG00000005686.17	Ampd3	7	+	Unannotated – Different start 				110773401	110812400
ENSMUSG00000005686.17	Ampd3	7	+	Unannotated – Different start 				110772788	110812400
ENSMUSG00000022237.16	Ankrd33b	15	-	ENSMUST00000123325.7		31367726	31291479	31367569	31291504
ENSMUSG00000022237.16	Ankrd33b	15	-	ENSMUST00000076942.4		31367568	31323945	31367569	31324000
ENSMUSG00000022237.16	Ankrd33b	15	-	ENSMUST00000044324.8		31367726	31294094	31367569	31291504
ENSMUSG00000022237.16	Ankrd33b	15	-	Longer Isoform				31367569	31290619
ENSMUSG00000027712.13	Anxa5	3	-	ENSMUST00000029266.13		36475894	36448922	36475655	36448929
ENSMUSG00000064145.12	Arih2	9	-	ENSMUST00000013338.13		108649380	108602941	108649373	108603006
ENSMUSG00000064145.12	Arih2	9	-	ENSMUST00000193190.5	TRUE	108649385	108604685	108649373	108604686
ENSMUSG00000064145.12	Arih2	9	-	ENSMUST00000193643.1		108649342	108616784	108649373	108616809
ENSMUSG00000064145.12	Arih2	9	-	Unannotated – Same as ENSMUST00000193190.5 but with exon 11 of ENSMUST00000013338.13				108649373	108603006
ENSMUSG00000017418.13	Arl5b	2	+	ENSMUST00000069870.9		15055239	15082456	15055294	15082417
ENSMUSG00000017418.13	Arl5b	2	+	ENSMUST00000128682.7		15055286	15076595	15055294	15082417
ENSMUSG00000038352.15	Arl5c	11	-	ENSMUST00000042971.15		97996181	97989577	97995901	97989623
ENSMUSG00000038352.15	Arl5c	11	-	ENSMUST00000107563.1	TRUE	97995929	97993835	97995901	97993340
ENSMUSG00000102037.1	Bcl2a1a	9	+	ENSMUST00000098485.3		88956899	88962419	88956997	88962370
ENSMUSG00000099974.1	Bcl2a1d	9	-	ENSMUST00000098486.3		88731914	88723284	88731764	88723337
ENSMUSG00000027381.16	Bcl2l11	2	+	ENSMUST00000110341.8		128126038	128162547	128126052	128162540
ENSMUSG00000027381.16	Bcl2l11	2	+	ENSMUST00000103210.1		128126049	128161228	128126052	128162540
ENSMUSG00000027358.6	Bmp2	2	+	ENSMUST00000028836.6		133552158	133562885	133552240	133562864
ENSMUSG00000036478.8	Btg1	10	+	ENSMUST00000038377.8		96617005	96622809	96617019	96619620
ENSMUSG00000020423.6	Btg2	1	-	ENSMUST00000020692.6		134079120	134075169	134079105	134075332
ENSMUSG00000024164.15	C3	17	-	ENSMUST00000024988.14		57228136	57203969	57228083	57203973
ENSMUSG00000049130.6	C5ar1	7	-	ENSMUST00000050770.5	TRUE	16259540	16246742	16259510	16246744
ENSMUSG00000049130.6	C5ar1	7	-	ENSMUST00000168818.1		16259338	16246744	16259510	16246744
ENSMUSG00000049130.6	C5ar1	7	-	ENSMUST00000209442.1	TRUE	16259540	16248549	16259510	?
ENSMUSG00000049130.6	C5ar1	7	-	Shorter Isoform				?	16247287
ENSMUSG00000003352.13	Cacnb3	15	+	ENSMUST00000003442.7		98634763	98644530	98634779	98644530
ENSMUSG00000003352.13	Cacnb3	15	+	ENSMUST00000109150.7		98632219	98644530	98632380	98644530
ENSMUSG00000003352.13	Cacnb3	15	+	Unannotated – different start and/or exon 6 skipping				98631267	98644530
ENSMUSG00000033538.13	Casp4	9	+	ENSMUST00000027012.13		5308848	5336783	5308870	5336711
ENSMUSG00000007655.16	Cav1	6	+	ENSMUST00000115453.1		17307639	17341452	17307731	17341412
ENSMUSG00000007655.16	Cav1	6	+	ENSMUST00000007799.12		17306334	17341324	17306410	17341412
ENSMUSG00000007655.16	Cav1	6	+	ENSMUST00000133065.1	TRUE	17307722	17327259	17307731	17327438
