transcript_id	gene_id	gene_symbol	locaus	TSS	TES	length	Nb_samples_over_10%	Nb_samples_over_25%	Nb_samples_over_50%	Nb_samples_over_75%	cytoplasmic.LPA.000.b1	cytoplasmic.LPA.010.b1	cytoplasmic.LPA.015.b1	cytoplasmic.LPA.020.b1	cytoplasmic.LPA.025.b1	cytoplasmic.LPA.030.b1	cytoplasmic.LPA.035.b1	cytoplasmic.LPA.040.b1	cytoplasmic.LPA.050.b1	cytoplasmic.LPA.060.b1	cytoplasmic.LPA.090.b1	cytoplasmic.LPA.120.b1	cytoplasmic.LPA.000.b2	cytoplasmic.LPA.010.b2	cytoplasmic.LPA.015.b2	cytoplasmic.LPA.020.b2	cytoplasmic.LPA.025.b2	cytoplasmic.LPA.030.b2	cytoplasmic.LPA.040.b2	cytoplasmic.LPA.050.b2	cytoplasmic.LPA.060.b2	cytoplasmic.LPA.075.b2	cytoplasmic.LPA.090.b2	cytoplasmic.LPA.120.b2	cytoplasmic.LPA.000.b3	cytoplasmic.LPA.010.b3	cytoplasmic.LPA.015.b3	cytoplasmic.LPA.020.b3	cytoplasmic.LPA.025.b3	cytoplasmic.LPA.030.b3	cytoplasmic.LPA.040.b3	cytoplasmic.LPA.050.b3	cytoplasmic.LPA.060.b3	cytoplasmic.LPA.075.b3	cytoplasmic.LPA.090.b3	cytoplasmic.LPA.120.b3
ENSMUSG00000078453.3	ENSMUST00000020002.8	Abracl	chr10:18011259-18023288	18023288	18011259	846	36	36	36	36	67.8636	51.8582	68.3633	64.8803	66.4831	71.0994	60.7361	55.8483	74.4287	90.4048	112.199	138.284	78.9762	68.3119	56.4639	62.8878	63.2896	82.7561	63.5257	82.8061	107.349	132.624	115.561	127.378	50.8544	64.529	63.4952	66.6467	52.6644	60.4574	52.3686	73.0621	78.0147	94.56	93.9982	110.319
ENSMUSG00000078453.3	ENSMUST00000220110.1	Abracl	chr10:18011263-18023218	18023218	18011263	768	1	0	0	0	4.43282	5.01085	4.54362	3.68667	4.98376	5.80519	3.87172	5.20868	5.58523	8.55101	9.05275	9.01943	5.20823	4.70728	5.48639	5.44655	3.07801	4.59756	3.14626	4.69675	7.21059	8.22868	8.89352	7.94814	3.13927	5.33331	3.6003	4.07494	7.97234	2.81489	2.84018	4.41219	4.97324	4.97509	5.24511	6.06596
ENSMUSG00000078453.3	ENSMUST00000218994.1	Abracl	chr10:18011523-18022878	18022878	18011523	425	0	0	0	0	0.345075	6.5274e-09	0.236192	0.640788	0.225495	6.40603e-10	0.187823	0.182304	0.43342	7.19812e-08	1.4834e-08	0.314521	0.761064	0.717579	1.82669e-08	0.441871	0.336562	0.868881	0.389292	0.437637	0.557994	0.292741	0.325953	0.736201	0.901961	0.512703	0.697687	9.18549e-08	1.21326e-18	0.446868	0.175299	0.33309	0.191454	1.89108e-09	0.526304	0.790741
ENSMUSG00000078453.3	ENSMUST00000217718.1	Abracl	chr10:18011589-18013355	18013355	18011589	300	0	0	0	0	3.23132e-20	1.06187e-23	8.96007e-17	8.97605e-21	9.02061e-20	5.26291e-21	4.98291e-18	7.87332e-17	7.1107e-18	9.76244e-18	5.19114e-21	4.17136e-19	1.29225e-19	5.13952e-21	2.9359e-19	4.68883e-17	1.08057e-18	6.10637e-16	5.59668e-22	1.10253e-23	1.31449e-19	3.32436e-24	2.99223e-14	2.05567e-14	8.32415e-22	1.99406e-24	6.80946e-20	4.81952e-19	7.01287e-40	2.88487e-22	2.8886e-22	9.32117e-21	3.95956e-19	1.19601e-24	1.80188e-24	1.25394e-24
ENSMUSG00000078453.3	ENSMUST00000220433.1	Abracl	chr10:18011704-18023090	18023090	18011704	275	17	0	0	0	7.32264	6.98846	6.78537	10.9947	9.19338	10.0199	6.65195	6.79137	10.5579	13.014	15.0955	13.79	11.2894	6.64519	8.07679	8.96451	6.07818	9.72436	9.32089	7.98495	13.7826	17.4906	14.6771	16.7813	2.44704	10.7998	6.80711	10.0929	1.45448	6.11167	4.81795	7.48239	5.59709	7.13547	9.64353	12.9691
Total_FPKM							36	36	36	36	79.964135	63.85751000652739	79.928482	80.20245800000001	80.885735	86.92449000064059	71.447593	68.030654	91.00525	111.9698100719812	136.347250014834	161.407951	96.23489400000001	80.38194899999999	70.0270800182669	77.74073100000001	72.782352	97.94690100000001	76.382142	95.92543699999999	128.900184	158.636021	139.45757300000002	152.84364100000005	57.342670999999996	81.174813	74.600297	80.8145400918549	62.09122	69.830828	60.20202900000001	85.28976999999999	88.776484	106.67056000189108	109.41314399999999	130.144801
Main Isoform FPKM											67.8636	51.8582	68.3633	64.8803	66.4831	71.0994	60.7361	55.8483	74.4287	90.4048	112.199	138.284	78.9762	68.3119	56.4639	62.8878	63.2896	82.7561	63.5257	82.8061	107.349	132.624	115.561	127.378	50.8544	64.529	63.4952	66.6467	52.6644	60.4574	52.3686	73.0621	78.0147	94.56	93.9982	110.319
2nd Main Isoform FPKM											7.32264	6.98846	6.78537	10.9947	9.19338	10.0199	6.65195	6.79137	10.5579	13.014	15.0955	13.79	11.2894	6.64519	8.07679	8.96451	6.07818	9.72436	9.32089	7.98495	13.7826	17.4906	14.6771	16.7813	3.13927	10.7998	6.80711	10.0929	7.97234	6.11167	4.81795	7.48239	5.59709	7.13547	9.64353	12.9691
Main Isoform/Total											0.8486754718224615	0.8120924225623447	0.8553058720669809	0.808956503552547	0.8219385037423471	0.8179444020836479	0.8500790222562151	0.8209284596911269	0.8178506185082729	0.8074033522239801	0.8228915507118275	0.8567359857012248	0.8206607470259176	0.8498412995683894	0.8063152138468592	0.8089427407107863	0.8695734372530307	0.8449077934584167	0.8316826202648258	0.8632340137267241	0.8328071897864786	0.8360270206222583	0.8286462865663092	0.8333876317432137	0.8868509107292892	0.7949386960706641	0.8511387025711171	0.8246869922695651	0.84817789052945	0.8657694850761329	0.8698809802573264	0.856633802623691	0.8787766363894295	0.8864676439152811	0.8591125029731346	0.847663519036769
2nd Main Isoform / Main											0.10790232171591249	0.13476094426725185	0.09925457080041486	0.1694613002714229	0.1382814579945881	0.14092805283870186	0.10952217873719254	0.1216038805120299	0.1418525380666329	0.1439525334937968	0.1345421973457874	0.09972231060715629	0.14294686247249172	0.0972771947493775	0.1430434312897267	0.14254768015417937	0.09603757963393669	0.1175062623782416	0.14672628558205578	0.09642949009795172	0.12839057653075484	0.1318811074918567	0.12700738138299253	0.13174410023708963	0.0617305483891266	0.16736351097955957	0.10720668648968741	0.15143885593735326	0.1513800593949613	0.10109051993635187	0.09200074090199088	0.10241137333857088	0.07174404310982417	0.07545970812182741	0.10259270922209149	0.11755998513402043

ENSMUSG00000032724.5	ENSMUST00000076212.3	Abtb2	chr2:103566309-103718423	103566309	103718423	4558	26	26	26	26	1.63405	1.85607	2.36788	1.98548	1.86578	1.60073	1.42703	1.34739	2.38478	1.67044	3.86085	5.5565	1.15803	1.03358	1.16817	0.762914	0.833448	1.18457	1.76615	1.08995	1.00817	1.42255	3.34488	7.46762	0.797621	0.948579	1.11187	0.965376	0.936431	0.86591	0.91804	0.954771	0.879554	1.16336	1.82814	3.46007
