# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "24" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "4000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts/cytoplasmic.Naive.b1/all/all_counts.txt" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam" "merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.000.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.010.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.020.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.030.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.040.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.060.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.090.b1.bam	merged_bams_mm10_vM14/cytoplasmic.Naive.b1/cytoplasmic.Naive.120.b1.bam
ENSMUSG00000102693.1	chr1	3073253	3074322	+	1070	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	chr1	3102016	3102125	+	110	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	chr1	3205901	3671498	-	465598	0	0	0	2	0	0	0	0
ENSMUSG00000102851.1	chr1	3252757	3253236	+	480	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	chr1	3365731	3368549	-	2819	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	chr1	3375556	3377788	-	2233	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	chr1	3464977	3467285	-	2309	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	chr1	3466587	3513553	+	46967	0	0	0	0	0	0	0	0
ENSMUSG00000103201.1	chr1	3512451	3514507	-	2057	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	chr1	3531795	3532720	+	926	0	0	0	0	0	1	0	0
ENSMUSG00000103161.1	chr1	3592892	3595903	-	3012	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	chr1	3647309	3658904	-	11596	0	0	0	0	0	0	0	0
ENSMUSG00000102348.1	chr1	3680155	3681788	+	1634	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	chr1	3752010	3754360	+	2351	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	chr1	3783876	3783933	-	58	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	chr1	3905739	3986215	-	80477	0	0	0	0	0	0	0	0
ENSMUSG00000025900.12	chr1	3999557	4409241	-	409685	0	0	0	0	1	0	0	0
ENSMUSG00000102948.1	chr1	4256234	4260519	-	4286	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	chr1	4363346	4364829	-	1484	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	chr1	4490931	4497354	-	6424	0	0	0	0	0	0	0	0
ENSMUSG00000104238.1	chr1	4496551	4499558	+	3008	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	chr1	4522905	4526737	+	3833	0	0	0	0	0	0	0	0
ENSMUSG00000096126.1	chr1	4529017	4529123	+	107	0	0	0	0	0	0	0	0
ENSMUSG00000103003.1	chr1	4534837	4535286	-	450	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	chr1	4583129	4586252	-	3124	0	0	0	0	0	0	0	0
