# Program:featureCounts v1.5.1; Command:"featureCounts" "-T" "8" "-s" "2" "-S" "fr" "-p" "-B" "-C" "-P" "-d" "40" "-D" "40000" "-t" "gene" "-g" "gene_id" "-a" "/opt/ngs_indexes/models/mm/mm10/gencode.vM14.annotation.gtf" "-o" "merged_counts_final/chromatin.Naive.b1/D40000/all/all_counts.txt" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.010.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.015.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.020.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.025.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.030.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.035.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.040.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.050.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.060.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.090.b1.bam" "merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.120.b1.bam" 
Geneid	Chr	Start	End	Strand	Length	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.010.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.015.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.020.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.025.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.030.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.035.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.040.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.050.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.060.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.090.b1.bam	merged_bams_mm10_vM14/chromatin.Naive.b1/chromatin.Naive.120.b1.bam
ENSMUSG00000102693.1	chr1	3073253	3074322	+	1070	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842.1	chr1	3102016	3102125	+	110	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951.5	chr1	3205901	3671498	-	465598	4	8	6	7	11	3	7	4	9	3	4
ENSMUSG00000102851.1	chr1	3252757	3253236	+	480	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377.1	chr1	3365731	3368549	-	2819	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017.1	chr1	3375556	3377788	-	2233	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025.1	chr1	3464977	3467285	-	2309	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699.1	chr1	3466587	3513553	+	46967	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000103201.1	chr1	3512451	3514507	-	2057	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147.1	chr1	3531795	3532720	+	926	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161.1	chr1	3592892	3595903	-	3012	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331.1	chr1	3647309	3658904	-	11596	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348.1	chr1	3680155	3681788	+	1634	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592.1	chr1	3752010	3754360	+	2351	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333.2	chr1	3783876	3783933	-	58	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343.1	chr1	3905739	3986215	-	80477	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000025900.12	chr1	3999557	4409241	-	409685	1	1	3	2	4	1	1	0	1	0	3
ENSMUSG00000102948.1	chr1	4256234	4260519	-	4286	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123.1	chr1	4363346	4364829	-	1484	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902.13	chr1	4490931	4497354	-	6424	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104238.1	chr1	4496551	4499558	+	3008	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269.1	chr1	4522905	4526737	+	3833	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000096126.1	chr1	4529017	4529123	+	107	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003.1	chr1	4534837	4535286	-	450	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328.1	chr1	4583129	4586252	-	3124	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735.1	chr1	4610471	4611406	+	936	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104.1	chr1	4687934	4689403	-	1470	8	2	13	7	0	6	8	5	0	1	2
ENSMUSG00000102175.1	chr1	4692219	4693424	-	1206	6	12	12	10	8	7	6	2	2	0	0
ENSMUSG00000088000.1	chr1	4723277	4723379	-	103	2	8	0	4	0	1	3	1	0	0	0
ENSMUSG00000103265.1	chr1	4735046	4735676	-	631	13	10	14	10	10	10	9	3	3	1	2
ENSMUSG00000103922.1	chr1	4771131	4772199	+	1069	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000033845.13	chr1	4773206	4785739	-	12534	443	373	230	176	73	64	50	120	124	307	148
ENSMUSG00000102275.1	chr1	4778063	4779212	-	1150	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025903.14	chr1	4807788	4848410	+	40623	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104217.1	chr1	4807892	4886770	+	78879	105	133	75	80	40	37	17	23	18	22	28
ENSMUSG00000033813.15	chr1	4857814	4897909	+	40096	869	1035	968	967	638	904	914	905	937	1088	898
ENSMUSG00000062588.4	chr1	4880049	4880651	-	603	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103280.1	chr1	4905751	4906861	-	1111	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002459.17	chr1	4909576	5070285	-	160710	9	12	18	13	6	14	3	10	2	10	3
ENSMUSG00000091305.1	chr1	4927028	4927299	-	272	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653.1	chr1	4938576	4940710	-	2135	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623.1	chr1	4970857	4976820	+	5964	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665.1	chr1	5063060	5064647	+	1588	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793.12	chr1	5070018	5162529	+	92512	11952	16015	16003	16631	18148	20299	20282	25798	23640	13720	5486
ENSMUSG00000104352.1	chr1	5276106	5277337	-	1232	0	0	0	0	0	0	0	0	0	0	0
